quantity,name,n1,n2,n3,e1,e2,e3,s1,s2,s3,w1,w2,w3
1,1,S,A,K,R,E,W,N,I,V,D,O,T
1,2,M,U,G,C,A,F,L,E,H,P,I,B
1,3,P,O,K,L,U,W,C,E,V,M,A,T
1,4,D,I,G,N,O,F,R,U,H,S,E,B
1,5,S,I,W,R,A,V,N,U,K,M,O,B
1,6,D,A,H,C,I,T,L,O,G,P,E,F
1,7,P,U,V,L,A,B,C,O,W,M,E,K
1,8,D,U,F,N,A,G,R,I,K,S,O,H
1,9,S,U,T,N,I,V,R,E,W,C,A,F
1,10,D,O,T,S,A,K,M,U,G,L,E,H
1,11,P,I,B,C,E,V,L,U,W,N,O,F
1,12,M,A,T,P,O,K,D,I,G,R,U,H
1,13,S,E,B,N,U,K,R,A,V,C,I,T
1,14,M,O,B,S,I,W,D,A,H,P,U,V
1,15,L,O,G,P,E,F,S,U,T,R,I,K
1,16,L,A,B,C,O,W,M,E,K,D,U,F
1,17,N,A,G,S,O,H,P,I,B,R,E,W
1,18,N,I,V,D,O,T,S,A,K,M,U,G
1,19,C,A,F,L,E,H,P,O,K,D,I,G
1,20,L,U,W,M,A,T,N,O,F,C,E,V
1,21,R,U,H,S,E,B,C,I,T,L,O,G
1,22,R,A,V,M,O,B,S,I,W,N,U,K
1,23,P,E,F,D,A,H,M,O,B,S,U,T
